,Vector ID,Year,Province,Employment Type,Type of Statistic,Unit of Measure,Value
307,v107659019,2019,Manitoba,All persons with employment income,Average employment income,2021 constant dollars,45800.0
308,v107659020,2019,Manitoba,All persons with employment income,Median employment income,2021 constant dollars,37400.0
309,v107659021,2019,Manitoba,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,12.0
310,v107659022,2019,Manitoba,All persons with employment income,"$5,000 to $9,999",Percent,7.4
311,v107659023,2019,Manitoba,All persons with employment income,"$10,000 to $19,999",Percent,12.6
312,v107659024,2019,Manitoba,All persons with employment income,"$20,000 to $29,999",Percent,10.5
313,v107659025,2019,Manitoba,All persons with employment income,"$30,000 to $39,999",Percent,10.6
314,v107659026,2019,Manitoba,All persons with employment income,"$40,000 to $49,999",Percent,11.5
315,v107659027,2019,Manitoba,All persons with employment income,"$50,000 to $59,999",Percent,8.1
316,v107659028,2019,Manitoba,All persons with employment income,"$60,000 to $79,999",Percent,10.8
317,v107659029,2019,Manitoba,All persons with employment income,"$60,000 to $69,999",Percent,5.8
318,v107659030,2019,Manitoba,All persons with employment income,"$70,000 to $79,999",Percent,5.0
319,v107659031,2019,Manitoba,All persons with employment income,"$80,000 to $99,999",Percent,7.7
320,v107659032,2019,Manitoba,All persons with employment income,"$80,000 to $89,999",Percent,4.2
321,v107659033,2019,Manitoba,All persons with employment income,"$90,000 to $99,999",Percent,3.6
322,v107659034,2019,Manitoba,All persons with employment income,"$100,000 and over",Percent,8.8
323,v107659069,2019,Manitoba,All persons with employment income,Number of persons,Number,391.0
324,v107659070,2019,Manitoba,All persons with employment income,Average employment income,2021 constant dollars,52800.0
325,v107659071,2019,Manitoba,All persons with employment income,Median employment income,2021 constant dollars,44000.0
326,v107659072,2019,Manitoba,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.1
327,v107659073,2019,Manitoba,All persons with employment income,"$5,000 to $9,999",Percent,5.7
328,v107659074,2019,Manitoba,All persons with employment income,"$10,000 to $19,999",Percent,10.1
329,v107659075,2019,Manitoba,All persons with employment income,"$20,000 to $29,999",Percent,9.0
330,v107659076,2019,Manitoba,All persons with employment income,"$30,000 to $39,999",Percent,9.5
331,v107659077,2019,Manitoba,All persons with employment income,"$40,000 to $49,999",Percent,12.1
332,v107659078,2019,Manitoba,All persons with employment income,"$50,000 to $59,999",Percent,8.1
333,v107659079,2019,Manitoba,All persons with employment income,"$60,000 to $79,999",Percent,13.0
334,v107659080,2019,Manitoba,All persons with employment income,"$60,000 to $69,999",Percent,7.0
335,v107659081,2019,Manitoba,All persons with employment income,"$70,000 to $79,999",Percent,5.9
336,v107659082,2019,Manitoba,All persons with employment income,"$80,000 to $99,999",Percent,9.2
337,v107659083,2019,Manitoba,All persons with employment income,"$80,000 to $89,999",Percent,5.4
338,v107659084,2019,Manitoba,All persons with employment income,"$90,000 to $99,999",Percent,3.8
339,v107659085,2019,Manitoba,All persons with employment income,"$100,000 and over",Percent,12.2
340,v107659120,2019,Manitoba,All persons with employment income,Number of persons,Number,361.0
341,v107659121,2019,Manitoba,All persons with employment income,Average employment income,2021 constant dollars,38200.0
342,v107659122,2019,Manitoba,All persons with employment income,Median employment income,2021 constant dollars,30300.0
343,v107659123,2019,Manitoba,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,13.0
344,v107659124,2019,Manitoba,All persons with employment income,"$5,000 to $9,999",Percent,9.1
345,v107659125,2019,Manitoba,All persons with employment income,"$10,000 to $19,999",Percent,15.2
346,v107659126,2019,Manitoba,All persons with employment income,"$20,000 to $29,999",Percent,12.1
347,v107659127,2019,Manitoba,All persons with employment income,"$30,000 to $39,999",Percent,11.9
348,v107659128,2019,Manitoba,All persons with employment income,"$40,000 to $49,999",Percent,10.9
349,v107659129,2019,Manitoba,All persons with employment income,"$50,000 to $59,999",Percent,8.0
350,v107659130,2019,Manitoba,All persons with employment income,"$60,000 to $79,999",Percent,8.5
351,v107659131,2019,Manitoba,All persons with employment income,"$60,000 to $69,999",Percent,4.5
352,v107659132,2019,Manitoba,All persons with employment income,"$70,000 to $79,999",Percent,4.0
353,v107659133,2019,Manitoba,All persons with employment income,"$80,000 to $99,999",Percent,6.1
354,v107659134,2019,Manitoba,All persons with employment income,"$80,000 to $89,999",Percent,2.8
355,v107659135,2019,Manitoba,All persons with employment income,"$90,000 to $99,999",Percent,3.3
356,v107659136,2019,Manitoba,All persons with employment income,"$100,000 and over",Percent,5.1
357,v107659171,2019,Saskatchewan,All persons with employment income,Number of persons,Number,637.0
358,v107659172,2019,Saskatchewan,All persons with employment income,Average employment income,2021 constant dollars,48500.0
359,v107659173,2019,Saskatchewan,All persons with employment income,Median employment income,2021 constant dollars,38700.0
360,v107659174,2019,Saskatchewan,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,13.2
361,v107659175,2019,Saskatchewan,All persons with employment income,"$5,000 to $9,999",Percent,6.4
362,v107659176,2019,Saskatchewan,All persons with employment income,"$10,000 to $19,999",Percent,12.1
363,v107659177,2019,Saskatchewan,All persons with employment income,"$20,000 to $29,999",Percent,9.7
364,v107659178,2019,Saskatchewan,All persons with employment income,"$30,000 to $39,999",Percent,9.8
365,v107659179,2019,Saskatchewan,All persons with employment income,"$40,000 to $49,999",Percent,9.5
366,v107659180,2019,Saskatchewan,All persons with employment income,"$50,000 to $59,999",Percent,7.7
367,v107659181,2019,Saskatchewan,All persons with employment income,"$60,000 to $79,999",Percent,12.0
368,v107659182,2019,Saskatchewan,All persons with employment income,"$60,000 to $69,999",Percent,6.0
369,v107659183,2019,Saskatchewan,All persons with employment income,"$70,000 to $79,999",Percent,6.0
370,v107659184,2019,Saskatchewan,All persons with employment income,"$80,000 to $99,999",Percent,8.7
371,v107659185,2019,Saskatchewan,All persons with employment income,"$80,000 to $89,999",Percent,4.7
372,v107659186,2019,Saskatchewan,All persons with employment income,"$90,000 to $99,999",Percent,4.0
373,v107659187,2019,Saskatchewan,All persons with employment income,"$100,000 and over",Percent,10.9
374,v107659222,2019,Saskatchewan,All persons with employment income,Number of persons,Number,334.0
375,v107659223,2019,Saskatchewan,All persons with employment income,Average employment income,2021 constant dollars,56400.0
376,v107659224,2019,Saskatchewan,All persons with employment income,Median employment income,2021 constant dollars,45300.0
377,v107659225,2019,Saskatchewan,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.3
378,v107659226,2019,Saskatchewan,All persons with employment income,"$5,000 to $9,999",Percent,4.6
379,v107659227,2019,Saskatchewan,All persons with employment income,"$10,000 to $19,999",Percent,11.8
380,v107659228,2019,Saskatchewan,All persons with employment income,"$20,000 to $29,999",Percent,8.4
381,v107659229,2019,Saskatchewan,All persons with employment income,"$30,000 to $39,999",Percent,8.0
382,v107659230,2019,Saskatchewan,All persons with employment income,"$40,000 to $49,999",Percent,9.5
383,v107659231,2019,Saskatchewan,All persons with employment income,"$50,000 to $59,999",Percent,8.1
384,v107659232,2019,Saskatchewan,All persons with employment income,"$60,000 to $79,999",Percent,12.7
385,v107659233,2019,Saskatchewan,All persons with employment income,"$60,000 to $69,999",Percent,5.9
386,v107659234,2019,Saskatchewan,All persons with employment income,"$70,000 to $79,999",Percent,6.8
387,v107659235,2019,Saskatchewan,All persons with employment income,"$80,000 to $99,999",Percent,9.8
388,v107659236,2019,Saskatchewan,All persons with employment income,"$80,000 to $89,999",Percent,6.0
389,v107659237,2019,Saskatchewan,All persons with employment income,"$90,000 to $99,999",Percent,3.8
390,v107659238,2019,Saskatchewan,All persons with employment income,"$100,000 and over",Percent,15.8
391,v107659273,2019,Saskatchewan,All persons with employment income,Number of persons,Number,304.0
392,v107659274,2019,Saskatchewan,All persons with employment income,Average employment income,2021 constant dollars,39800.0
393,v107659275,2019,Saskatchewan,All persons with employment income,Median employment income,2021 constant dollars,33200.0
394,v107659276,2019,Saskatchewan,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,15.2
395,v107659277,2019,Saskatchewan,All persons with employment income,"$5,000 to $9,999",Percent,8.3
396,v107659278,2019,Saskatchewan,All persons with employment income,"$10,000 to $19,999",Percent,12.4
397,v107659279,2019,Saskatchewan,All persons with employment income,"$20,000 to $29,999",Percent,11.2
398,v107659280,2019,Saskatchewan,All persons with employment income,"$30,000 to $39,999",Percent,11.7
399,v107659281,2019,Saskatchewan,All persons with employment income,"$40,000 to $49,999",Percent,9.6
400,v107659282,2019,Saskatchewan,All persons with employment income,"$50,000 to $59,999",Percent,7.3
401,v107659283,2019,Saskatchewan,All persons with employment income,"$60,000 to $79,999",Percent,11.3
402,v107659284,2019,Saskatchewan,All persons with employment income,"$60,000 to $69,999",Percent,6.2
403,v107659285,2019,Saskatchewan,All persons with employment income,"$70,000 to $79,999",Percent,5.1
404,v107659286,2019,Saskatchewan,All persons with employment income,"$80,000 to $99,999",Percent,7.5
405,v107659287,2019,Saskatchewan,All persons with employment income,"$80,000 to $89,999",Percent,3.3
406,v107659288,2019,Saskatchewan,All persons with employment income,"$90,000 to $99,999",Percent,4.2
407,v107659289,2019,Saskatchewan,All persons with employment income,"$100,000 and over",Percent,5.5
408,v107659324,2019,Alberta,All persons with employment income,Number of persons,Number,2574.0
409,v107659325,2019,Alberta,All persons with employment income,Average employment income,2021 constant dollars,57700.0
410,v107659326,2019,Alberta,All persons with employment income,Median employment income,2021 constant dollars,44500.0
411,v107659327,2019,Alberta,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,10.7
412,v107659328,2019,Alberta,All persons with employment income,"$5,000 to $9,999",Percent,6.4
413,v107659329,2019,Alberta,All persons with employment income,"$10,000 to $19,999",Percent,10.7
414,v107659330,2019,Alberta,All persons with employment income,"$20,000 to $29,999",Percent,9.0
415,v107659331,2019,Alberta,All persons with employment income,"$30,000 to $39,999",Percent,8.3
416,v107659332,2019,Alberta,All persons with employment income,"$40,000 to $49,999",Percent,9.8
417,v107659333,2019,Alberta,All persons with employment income,"$50,000 to $59,999",Percent,8.2
418,v107659334,2019,Alberta,All persons with employment income,"$60,000 to $79,999",Percent,12.1
419,v107659335,2019,Alberta,All persons with employment income,"$60,000 to $69,999",Percent,6.3
420,v107659336,2019,Alberta,All persons with employment income,"$70,000 to $79,999",Percent,5.7
421,v107659337,2019,Alberta,All persons with employment income,"$80,000 to $99,999",Percent,8.8
422,v107659338,2019,Alberta,All persons with employment income,"$80,000 to $89,999",Percent,4.5
423,v107659339,2019,Alberta,All persons with employment income,"$90,000 to $99,999",Percent,4.3
424,v107659340,2019,Alberta,All persons with employment income,"$100,000 and over",Percent,16.3
425,v107659375,2019,Alberta,All persons with employment income,Number of persons,Number,1366.0
426,v107659376,2019,Alberta,All persons with employment income,Average employment income,2021 constant dollars,68200.0
427,v107659377,2019,Alberta,All persons with employment income,Median employment income,2021 constant dollars,54500.0
428,v107659378,2019,Alberta,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,8.8
429,v107659379,2019,Alberta,All persons with employment income,"$5,000 to $9,999",Percent,5.5
430,v107659380,2019,Alberta,All persons with employment income,"$10,000 to $19,999",Percent,9.8
431,v107659381,2019,Alberta,All persons with employment income,"$20,000 to $29,999",Percent,7.7
432,v107659382,2019,Alberta,All persons with employment income,"$30,000 to $39,999",Percent,6.7
433,v107659383,2019,Alberta,All persons with employment income,"$40,000 to $49,999",Percent,8.1
434,v107659384,2019,Alberta,All persons with employment income,"$50,000 to $59,999",Percent,7.6
435,v107659385,2019,Alberta,All persons with employment income,"$60,000 to $79,999",Percent,12.7
436,v107659386,2019,Alberta,All persons with employment income,"$60,000 to $69,999",Percent,6.9
437,v107659387,2019,Alberta,All persons with employment income,"$70,000 to $79,999",Percent,5.8
438,v107659388,2019,Alberta,All persons with employment income,"$80,000 to $99,999",Percent,10.8
439,v107659389,2019,Alberta,All persons with employment income,"$80,000 to $89,999",Percent,6.0
440,v107659390,2019,Alberta,All persons with employment income,"$90,000 to $99,999",Percent,4.8
441,v107659391,2019,Alberta,All persons with employment income,"$100,000 and over",Percent,22.3
442,v107659426,2019,Alberta,All persons with employment income,Number of persons,Number,1208.0
443,v107659427,2019,Alberta,All persons with employment income,Average employment income,2021 constant dollars,45800.0
444,v107659428,2019,Alberta,All persons with employment income,Median employment income,2021 constant dollars,37500.0
445,v107659429,2019,Alberta,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,12.8
446,v107659430,2019,Alberta,All persons with employment income,"$5,000 to $9,999",Percent,7.4
447,v107659431,2019,Alberta,All persons with employment income,"$10,000 to $19,999",Percent,11.6
448,v107659432,2019,Alberta,All persons with employment income,"$20,000 to $29,999",Percent,10.4
449,v107659433,2019,Alberta,All persons with employment income,"$30,000 to $39,999",Percent,10.0
450,v107659434,2019,Alberta,All persons with employment income,"$40,000 to $49,999",Percent,11.6
451,v107659435,2019,Alberta,All persons with employment income,"$50,000 to $59,999",Percent,8.8
452,v107659436,2019,Alberta,All persons with employment income,"$60,000 to $79,999",Percent,11.3
453,v107659437,2019,Alberta,All persons with employment income,"$60,000 to $69,999",Percent,5.6
454,v107659438,2019,Alberta,All persons with employment income,"$70,000 to $79,999",Percent,5.7
455,v107659439,2019,Alberta,All persons with employment income,"$80,000 to $99,999",Percent,6.6
456,v107659440,2019,Alberta,All persons with employment income,"$80,000 to $89,999",Percent,2.9
457,v107659441,2019,Alberta,All persons with employment income,"$90,000 to $99,999",Percent,3.8
458,v107659442,2019,Alberta,All persons with employment income,"$100,000 and over",Percent,9.5
459,v107659477,2019,British Columbia,All persons with employment income,Number of persons,Number,3081.0
460,v107659478,2019,British Columbia,All persons with employment income,Average employment income,2021 constant dollars,47500.0
461,v107659479,2019,British Columbia,All persons with employment income,Median employment income,2021 constant dollars,36200.0
462,v107659480,2019,British Columbia,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,13.3
463,v107659481,2019,British Columbia,All persons with employment income,"$5,000 to $9,999",Percent,7.0
464,v107659482,2019,British Columbia,All persons with employment income,"$10,000 to $19,999",Percent,13.0
465,v107659483,2019,British Columbia,All persons with employment income,"$20,000 to $29,999",Percent,10.3
466,v107659484,2019,British Columbia,All persons with employment income,"$30,000 to $39,999",Percent,10.3
467,v107659485,2019,British Columbia,All persons with employment income,"$40,000 to $49,999",Percent,8.8
468,v107659486,2019,British Columbia,All persons with employment income,"$50,000 to $59,999",Percent,8.1
469,v107659487,2019,British Columbia,All persons with employment income,"$60,000 to $79,999",Percent,11.9
470,v107659488,2019,British Columbia,All persons with employment income,"$60,000 to $69,999",Percent,6.6
471,v107659489,2019,British Columbia,All persons with employment income,"$70,000 to $79,999",Percent,5.3
472,v107659490,2019,British Columbia,All persons with employment income,"$80,000 to $99,999",Percent,7.2
473,v107659491,2019,British Columbia,All persons with employment income,"$80,000 to $89,999",Percent,4.0
474,v107659492,2019,British Columbia,All persons with employment income,"$90,000 to $99,999",Percent,3.2
475,v107659493,2019,British Columbia,All persons with employment income,"$100,000 and over",Percent,10.3
476,v107659528,2019,British Columbia,All persons with employment income,Number of persons,Number,1581.0
477,v107659529,2019,British Columbia,All persons with employment income,Average employment income,2021 constant dollars,56000.0
478,v107659530,2019,British Columbia,All persons with employment income,Median employment income,2021 constant dollars,43700.0
479,v107659531,2019,British Columbia,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,12.8
480,v107659532,2019,British Columbia,All persons with employment income,"$5,000 to $9,999",Percent,6.0
481,v107659533,2019,British Columbia,All persons with employment income,"$10,000 to $19,999",Percent,10.1
482,v107659534,2019,British Columbia,All persons with employment income,"$20,000 to $29,999",Percent,10.3
483,v107659535,2019,British Columbia,All persons with employment income,"$30,000 to $39,999",Percent,8.2
484,v107659536,2019,British Columbia,All persons with employment income,"$40,000 to $49,999",Percent,7.6
485,v107659537,2019,British Columbia,All persons with employment income,"$50,000 to $59,999",Percent,8.0
486,v107659538,2019,British Columbia,All persons with employment income,"$60,000 to $79,999",Percent,13.1
487,v107659539,2019,British Columbia,All persons with employment income,"$60,000 to $69,999",Percent,7.4
488,v107659540,2019,British Columbia,All persons with employment income,"$70,000 to $79,999",Percent,5.7
489,v107659541,2019,British Columbia,All persons with employment income,"$80,000 to $99,999",Percent,9.3
490,v107659542,2019,British Columbia,All persons with employment income,"$80,000 to $89,999",Percent,4.9
491,v107659543,2019,British Columbia,All persons with employment income,"$90,000 to $99,999",Percent,4.4
492,v107659544,2019,British Columbia,All persons with employment income,"$100,000 and over",Percent,14.6
493,v107659579,2019,British Columbia,All persons with employment income,Number of persons,Number,1500.0
494,v107659580,2019,British Columbia,All persons with employment income,Average employment income,2021 constant dollars,38500.0
495,v107659581,2019,British Columbia,All persons with employment income,Median employment income,2021 constant dollars,31800.0
496,v107659582,2019,British Columbia,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,13.8
497,v107659583,2019,British Columbia,All persons with employment income,"$5,000 to $9,999",Percent,7.9
498,v107659584,2019,British Columbia,All persons with employment income,"$10,000 to $19,999",Percent,16.0
499,v107659585,2019,British Columbia,All persons with employment income,"$20,000 to $29,999",Percent,10.3
500,v107659586,2019,British Columbia,All persons with employment income,"$30,000 to $39,999",Percent,12.6
501,v107659587,2019,British Columbia,All persons with employment income,"$40,000 to $49,999",Percent,10.1
502,v107659588,2019,British Columbia,All persons with employment income,"$50,000 to $59,999",Percent,8.2
503,v107659589,2019,British Columbia,All persons with employment income,"$60,000 to $79,999",Percent,10.6
504,v107659590,2019,British Columbia,All persons with employment income,"$60,000 to $69,999",Percent,5.7
505,v107659591,2019,British Columbia,All persons with employment income,"$70,000 to $79,999",Percent,4.9
506,v107659592,2019,British Columbia,All persons with employment income,"$80,000 to $99,999",Percent,5.0
507,v107659593,2019,British Columbia,All persons with employment income,"$80,000 to $89,999",Percent,3.0
508,v107659594,2019,British Columbia,All persons with employment income,"$90,000 to $99,999",Percent,1.9
509,v107659595,2019,British Columbia,All persons with employment income,"$100,000 and over",Percent,5.7
510,v107657947,2020,Newfoundland and Labrador,All persons with employment income,Number of persons,Number,287.0
511,v107657948,2020,Newfoundland and Labrador,All persons with employment income,Average employment income,2021 constant dollars,45500.0
512,v107657949,2020,Newfoundland and Labrador,All persons with employment income,Median employment income,2021 constant dollars,32500.0
513,v107657950,2020,Newfoundland and Labrador,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,14.1
514,v107657951,2020,Newfoundland and Labrador,All persons with employment income,"$5,000 to $9,999",Percent,9.2
515,v107657952,2020,Newfoundland and Labrador,All persons with employment income,"$10,000 to $19,999",Percent,13.4
516,v107657953,2020,Newfoundland and Labrador,All persons with employment income,"$20,000 to $29,999",Percent,10.2
517,v107657954,2020,Newfoundland and Labrador,All persons with employment income,"$30,000 to $39,999",Percent,10.2
518,v107657955,2020,Newfoundland and Labrador,All persons with employment income,"$40,000 to $49,999",Percent,7.6
519,v107657956,2020,Newfoundland and Labrador,All persons with employment income,"$50,000 to $59,999",Percent,6.4
520,v107657957,2020,Newfoundland and Labrador,All persons with employment income,"$60,000 to $79,999",Percent,10.1
521,v107657958,2020,Newfoundland and Labrador,All persons with employment income,"$60,000 to $69,999",Percent,6.2
522,v107657959,2020,Newfoundland and Labrador,All persons with employment income,"$70,000 to $79,999",Percent,3.9
523,v107657960,2020,Newfoundland and Labrador,All persons with employment income,"$80,000 to $99,999",Percent,8.2
524,v107657961,2020,Newfoundland and Labrador,All persons with employment income,"$80,000 to $89,999",Percent,3.4
525,v107657962,2020,Newfoundland and Labrador,All persons with employment income,"$90,000 to $99,999",Percent,4.8
526,v107657963,2020,Newfoundland and Labrador,All persons with employment income,"$100,000 and over",Percent,10.6
527,v107657998,2020,Newfoundland and Labrador,All persons with employment income,Number of persons,Number,151.0
528,v107657999,2020,Newfoundland and Labrador,All persons with employment income,Average employment income,2021 constant dollars,52700.0
529,v107658000,2020,Newfoundland and Labrador,All persons with employment income,Median employment income,2021 constant dollars,39100.0
530,v107658001,2020,Newfoundland and Labrador,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,13.0
531,v107658002,2020,Newfoundland and Labrador,All persons with employment income,"$5,000 to $9,999",Percent,8.2
532,v107658003,2020,Newfoundland and Labrador,All persons with employment income,"$10,000 to $19,999",Percent,12.4
533,v107658004,2020,Newfoundland and Labrador,All persons with employment income,"$20,000 to $29,999",Percent,8.7
534,v107658005,2020,Newfoundland and Labrador,All persons with employment income,"$30,000 to $39,999",Percent,8.5
535,v107658006,2020,Newfoundland and Labrador,All persons with employment income,"$40,000 to $49,999",Percent,7.6
536,v107658007,2020,Newfoundland and Labrador,All persons with employment income,"$50,000 to $59,999",Percent,6.6
537,v107658008,2020,Newfoundland and Labrador,All persons with employment income,"$60,000 to $79,999",Percent,11.4
538,v107658009,2020,Newfoundland and Labrador,All persons with employment income,"$60,000 to $69,999",Percent,7.4
539,v107658010,2020,Newfoundland and Labrador,All persons with employment income,"$70,000 to $79,999",Percent,4.0
540,v107658011,2020,Newfoundland and Labrador,All persons with employment income,"$80,000 to $99,999",Percent,8.4
541,v107658012,2020,Newfoundland and Labrador,All persons with employment income,"$80,000 to $89,999",Percent,3.7
542,v107658013,2020,Newfoundland and Labrador,All persons with employment income,"$90,000 to $99,999",Percent,4.6
543,v107658014,2020,Newfoundland and Labrador,All persons with employment income,"$100,000 and over",Percent,15.2
544,v107658049,2020,Newfoundland and Labrador,All persons with employment income,Number of persons,Number,136.0
545,v107658050,2020,Newfoundland and Labrador,All persons with employment income,Average employment income,2021 constant dollars,37600.0
546,v107658051,2020,Newfoundland and Labrador,All persons with employment income,Median employment income,2021 constant dollars,28300.0
547,v107658052,2020,Newfoundland and Labrador,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,15.2
548,v107658053,2020,Newfoundland and Labrador,All persons with employment income,"$5,000 to $9,999",Percent,10.2
549,v107658054,2020,Newfoundland and Labrador,All persons with employment income,"$10,000 to $19,999",Percent,14.6
550,v107658055,2020,Newfoundland and Labrador,All persons with employment income,"$20,000 to $29,999",Percent,11.9
551,v107658056,2020,Newfoundland and Labrador,All persons with employment income,"$30,000 to $39,999",Percent,12.2
552,v107658057,2020,Newfoundland and Labrador,All persons with employment income,"$40,000 to $49,999",Percent,7.5
553,v107658058,2020,Newfoundland and Labrador,All persons with employment income,"$50,000 to $59,999",Percent,6.2
554,v107658059,2020,Newfoundland and Labrador,All persons with employment income,"$60,000 to $79,999",Percent,8.8
555,v107658060,2020,Newfoundland and Labrador,All persons with employment income,"$60,000 to $69,999",Percent,5.0
556,v107658061,2020,Newfoundland and Labrador,All persons with employment income,"$70,000 to $79,999",Percent,3.8
557,v107658062,2020,Newfoundland and Labrador,All persons with employment income,"$80,000 to $99,999",Percent,7.9
558,v107658063,2020,Newfoundland and Labrador,All persons with employment income,"$80,000 to $89,999",Percent,3.0
559,v107658064,2020,Newfoundland and Labrador,All persons with employment income,"$90,000 to $99,999",Percent,4.9
560,v107658065,2020,Newfoundland and Labrador,All persons with employment income,"$100,000 and over",Percent,5.6
561,v107658100,2020,Prince Edward Island,All persons with employment income,Number of persons,Number,95.0
562,v107658101,2020,Prince Edward Island,All persons with employment income,Average employment income,2021 constant dollars,39700.0
563,v107658102,2020,Prince Edward Island,All persons with employment income,Median employment income,2021 constant dollars,31600.0
564,v107658103,2020,Prince Edward Island,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.9
565,v107658104,2020,Prince Edward Island,All persons with employment income,"$5,000 to $9,999",Percent,9.0
566,v107658105,2020,Prince Edward Island,All persons with employment income,"$10,000 to $19,999",Percent,14.9
567,v107658106,2020,Prince Edward Island,All persons with employment income,"$20,000 to $29,999",Percent,12.2
568,v107658107,2020,Prince Edward Island,All persons with employment income,"$30,000 to $39,999",Percent,12.3
569,v107658108,2020,Prince Edward Island,All persons with employment income,"$40,000 to $49,999",Percent,9.2
570,v107658109,2020,Prince Edward Island,All persons with employment income,"$50,000 to $59,999",Percent,8.4
571,v107658110,2020,Prince Edward Island,All persons with employment income,"$60,000 to $79,999",Percent,10.5
572,v107658111,2020,Prince Edward Island,All persons with employment income,"$60,000 to $69,999",Percent,6.8
573,v107658112,2020,Prince Edward Island,All persons with employment income,"$70,000 to $79,999",Percent,3.7
574,v107658113,2020,Prince Edward Island,All persons with employment income,"$80,000 to $99,999",Percent,5.9
575,v107658114,2020,Prince Edward Island,All persons with employment income,"$80,000 to $89,999",Percent,3.2
576,v107658115,2020,Prince Edward Island,All persons with employment income,"$90,000 to $99,999",Percent,2.6
577,v107658116,2020,Prince Edward Island,All persons with employment income,"$100,000 and over",Percent,5.8
578,v107658151,2020,Prince Edward Island,All persons with employment income,Number of persons,Number,51.0
579,v107658152,2020,Prince Edward Island,All persons with employment income,Average employment income,2021 constant dollars,42900.0
580,v107658153,2020,Prince Edward Island,All persons with employment income,Median employment income,2021 constant dollars,32600.0
581,v107658154,2020,Prince Edward Island,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,11.6
582,v107658155,2020,Prince Edward Island,All persons with employment income,"$5,000 to $9,999",Percent,7.8
583,v107658156,2020,Prince Edward Island,All persons with employment income,"$10,000 to $19,999",Percent,13.7
584,v107658157,2020,Prince Edward Island,All persons with employment income,"$20,000 to $29,999",Percent,13.5
585,v107658158,2020,Prince Edward Island,All persons with employment income,"$30,000 to $39,999",Percent,11.9
586,v107658159,2020,Prince Edward Island,All persons with employment income,"$40,000 to $49,999",Percent,8.2
587,v107658160,2020,Prince Edward Island,All persons with employment income,"$50,000 to $59,999",Percent,8.0
588,v107658161,2020,Prince Edward Island,All persons with employment income,"$60,000 to $79,999",Percent,12.1
589,v107658162,2020,Prince Edward Island,All persons with employment income,"$60,000 to $69,999",Percent,8.1
590,v107658163,2020,Prince Edward Island,All persons with employment income,"$70,000 to $79,999",Percent,4.1
591,v107658164,2020,Prince Edward Island,All persons with employment income,"$80,000 to $99,999",Percent,5.7
592,v107658165,2020,Prince Edward Island,All persons with employment income,"$80,000 to $89,999",Percent,3.2
593,v107658166,2020,Prince Edward Island,All persons with employment income,"$90,000 to $99,999",Percent,2.5
594,v107658167,2020,Prince Edward Island,All persons with employment income,"$100,000 and over",Percent,7.5
595,v107658202,2020,Prince Edward Island,All persons with employment income,Number of persons,Number,45.0
596,v107658203,2020,Prince Edward Island,All persons with employment income,Average employment income,2021 constant dollars,36100.0
597,v107658204,2020,Prince Edward Island,All persons with employment income,Median employment income,2021 constant dollars,30700.0
598,v107658205,2020,Prince Edward Island,All persons with employment income,"Percentage under $5,000 (including losses)",Percent,12.2
599,v107658206,2020,Prince Edward Island,All persons with employment income,"$5,000 to $9,999",Percent,10.4
600,v107658207,2020,Prince Edward Island,All persons with employment income,"$10,000 to $19,999",Percent,16.3
601,v107658208,2020,Prince Edward Island,All persons with employment income,"$20,000 to $29,999",Percent,10.6
602,v107658209,2020,Prince Edward Island,All persons with employment income,"$30,000 to $39,999",Percent,12.7
603,v107658210,2020,Prince Edward Island,All persons with employment income,"$40,000 to $49,999",Percent,10.4
604,v107658211,2020,Prince Edward Island,All persons with employment income,"$50,000 to $59,999",Percent,8.7
605,v107658212,2020,Prince Edward Island,All persons with employment income,"$60,000 to $79,999",Percent,8.7
606,v107658213,2020,Prince Edward Island,All persons with employment income,"$60,000 to $69,999",Percent,5.4
607,v107658214,2020,Prince Edward Island,All persons with employment income,"$70,000 to $79,999",Percent,3.3
608,v107658215,2020,Prince Edward Island,All persons with employment income,"$80,000 to $99,999",Percent,6.0
609,v107658216,2020,Prince Edward Island,All persons with employment income,"$80,000 to $89,999",Percent,3.3
610,v107658217,2020,Prince Edward Island,All persons with employment income,"$90,000 to $99,999",Percent,2.7
611,v107658218,2020,Prince Edward Island,All persons with employment income,"$100,000 and over",Percent,4.0
612,v107658253,2020,Nova Scotia,All persons with employment income,Number of persons,Number,538.0
613,v107658254,2020,Nova Scotia,All persons with employment income,Average employment income,2021 constant dollars,43100.0
