,Vector ID,Year,Province,Labour force characteristics,Sex,Unit of Measure,Value,Coordinate
4058,v1063548105,2019,Saskatchewan,Not in labour force,Males,Persons,6.8,9.7.2.10
4059,v1063548106,2019,Saskatchewan,Not in labour force,Males,Persons,3.7,9.7.2.11
4060,v1063548107,2019,Saskatchewan,Not in labour force,Males,Persons,2.6,9.7.2.12
4061,v1063548108,2019,Saskatchewan,Not in labour force,Males,Persons,2.1,9.7.2.13
4062,v1063548109,2019,Saskatchewan,Not in labour force,Males,Persons,2.4,9.7.2.14
4063,v1063548110,2019,Saskatchewan,Not in labour force,Males,Persons,2.2,9.7.2.15
4064,v1063548111,2019,Saskatchewan,Not in labour force,Males,Persons,3.1,9.7.2.16
4065,v1063548112,2019,Saskatchewan,Not in labour force,Males,Persons,5.9,9.7.2.17
4066,v1063548113,2019,Saskatchewan,Not in labour force,Males,Persons,11.7,9.7.2.18
4067,v1063548114,2019,Saskatchewan,Not in labour force,Males,Persons,57.8,9.7.2.19
4068,v1063548115,2019,Saskatchewan,Not in labour force,Males,Persons,15.4,9.7.2.20
4069,v1063548116,2019,Saskatchewan,Not in labour force,Males,Persons,42.4,9.7.2.21
4070,v1063548118,2019,Saskatchewan,Not in labour force,Females,Persons,158.9,9.7.3.1
4071,v1063548119,2019,Saskatchewan,Not in labour force,Females,Persons,21.8,9.7.3.2
4072,v1063548120,2019,Saskatchewan,Not in labour force,Females,Persons,137.0,9.7.3.3
4073,v1063548121,2019,Saskatchewan,Not in labour force,Females,Persons,24.6,9.7.3.4
4074,v1063548139,2019,Saskatchewan,Not in labour force,Females,Persons,34.1,9.7.3.22
4075,v1063548122,2019,Saskatchewan,Not in labour force,Females,Persons,112.4,9.7.3.5
4076,v1063548123,2019,Saskatchewan,Not in labour force,Females,Persons,33.6,9.7.3.6
4077,v1063548124,2019,Saskatchewan,Not in labour force,Females,Persons,103.4,9.7.3.7
4078,v1063548125,2019,Saskatchewan,Not in labour force,Females,Persons,80.6,9.7.3.8
4079,v1063548126,2019,Saskatchewan,Not in labour force,Females,Persons,15.2,9.7.3.9
4080,v1063548127,2019,Saskatchewan,Not in labour force,Females,Persons,6.6,9.7.3.10
4081,v1063548128,2019,Saskatchewan,Not in labour force,Females,Persons,6.1,9.7.3.11
4082,v1063548129,2019,Saskatchewan,Not in labour force,Females,Persons,7.8,9.7.3.12
4083,v1063548130,2019,Saskatchewan,Not in labour force,Females,Persons,6.0,9.7.3.13
4084,v1063548131,2019,Saskatchewan,Not in labour force,Females,Persons,4.7,9.7.3.14
4085,v1063548132,2019,Saskatchewan,Not in labour force,Females,Persons,4.2,9.7.3.15
4086,v1063548133,2019,Saskatchewan,Not in labour force,Females,Persons,4.8,9.7.3.16
4087,v1063548134,2019,Saskatchewan,Not in labour force,Females,Persons,9.6,9.7.3.17
4088,v1063548135,2019,Saskatchewan,Not in labour force,Females,Persons,15.5,9.7.3.18
4089,v1063548136,2019,Saskatchewan,Not in labour force,Females,Persons,78.3,9.7.3.19
4090,v1063548137,2019,Saskatchewan,Not in labour force,Females,Persons,20.3,9.7.3.20
4091,v1063548138,2019,Saskatchewan,Not in labour force,Females,Persons,58.0,9.7.3.21
4092,v1063548162,2019,Saskatchewan,Unemployment rate,Males,Percentage,5.6,9.8.2.1
4093,v1063548163,2019,Saskatchewan,Unemployment rate,Males,Percentage,11.9,9.8.2.2
4094,v1063548164,2019,Saskatchewan,Unemployment rate,Males,Percentage,4.6,9.8.2.3
4095,v1063548165,2019,Saskatchewan,Unemployment rate,Males,Percentage,5.1,9.8.2.4
4096,v1063548183,2019,Saskatchewan,Unemployment rate,Males,Percentage,4.2,9.8.2.22
4097,v1063548166,2019,Saskatchewan,Unemployment rate,Males,Percentage,4.0,9.8.2.5
4098,v1063548167,2019,Saskatchewan,Unemployment rate,Males,Percentage,4.9,9.8.2.6
4099,v1063548168,2019,Saskatchewan,Unemployment rate,Males,Percentage,3.7,9.8.2.7
4100,v1063548169,2019,Saskatchewan,Unemployment rate,Males,Percentage,5.8,9.8.2.8
4101,v1063548170,2019,Saskatchewan,Unemployment rate,Males,Percentage,16.8,9.8.2.9
4102,v1063548171,2019,Saskatchewan,Unemployment rate,Males,Percentage,9.1,9.8.2.10
4103,v1063548172,2019,Saskatchewan,Unemployment rate,Males,Percentage,6.3,9.8.2.11
4104,v1063548173,2019,Saskatchewan,Unemployment rate,Males,Percentage,5.7,9.8.2.12
4105,v1063548174,2019,Saskatchewan,Unemployment rate,Males,Percentage,4.2,9.8.2.13
4106,v1063548175,2019,Saskatchewan,Unemployment rate,Males,Percentage,4.1,9.8.2.14
4107,v1063548176,2019,Saskatchewan,Unemployment rate,Males,Percentage,4.9,9.8.2.15
4108,v1063548177,2019,Saskatchewan,Unemployment rate,Males,Percentage,4.2,9.8.2.16
4109,v1063548178,2019,Saskatchewan,Unemployment rate,Males,Percentage,3.1,9.8.2.17
4110,v1063548179,2019,Saskatchewan,Unemployment rate,Males,Percentage,5.0,9.8.2.18
4111,v1063548180,2019,Saskatchewan,Unemployment rate,Males,Percentage,,9.8.2.19
4112,v1063548181,2019,Saskatchewan,Unemployment rate,Males,Percentage,,9.8.2.20
4113,v1063548182,2019,Saskatchewan,Unemployment rate,Males,Percentage,,9.8.2.21
4114,v1063548184,2019,Saskatchewan,Unemployment rate,Females,Percentage,5.4,9.8.3.1
4115,v1063548185,2019,Saskatchewan,Unemployment rate,Females,Percentage,10.8,9.8.3.2
4116,v1063548186,2019,Saskatchewan,Unemployment rate,Females,Percentage,4.4,9.8.3.3
4117,v1063548187,2019,Saskatchewan,Unemployment rate,Females,Percentage,4.8,9.8.3.4
4118,v1063548205,2019,Saskatchewan,Unemployment rate,Females,Percentage,4.2,9.8.3.22
4119,v1063548188,2019,Saskatchewan,Unemployment rate,Females,Percentage,4.1,9.8.3.5
4120,v1063548189,2019,Saskatchewan,Unemployment rate,Females,Percentage,4.7,9.8.3.6
4121,v1063548190,2019,Saskatchewan,Unemployment rate,Females,Percentage,3.8,9.8.3.7
4122,v1063548191,2019,Saskatchewan,Unemployment rate,Females,Percentage,5.5,9.8.3.8
4123,v1063548192,2019,Saskatchewan,Unemployment rate,Females,Percentage,14.7,9.8.3.9
4124,v1063548193,2019,Saskatchewan,Unemployment rate,Females,Percentage,8.0,9.8.3.10
4125,v1063548194,2019,Saskatchewan,Unemployment rate,Females,Percentage,7.0,9.8.3.11
4126,v1063548195,2019,Saskatchewan,Unemployment rate,Females,Percentage,5.0,9.8.3.12
4127,v1063548196,2019,Saskatchewan,Unemployment rate,Females,Percentage,3.7,9.8.3.13
4128,v1063548197,2019,Saskatchewan,Unemployment rate,Females,Percentage,3.3,9.8.3.14
4129,v1063548198,2019,Saskatchewan,Unemployment rate,Females,Percentage,4.3,9.8.3.15
4130,v1063548199,2019,Saskatchewan,Unemployment rate,Females,Percentage,4.3,9.8.3.16
4131,v1063548200,2019,Saskatchewan,Unemployment rate,Females,Percentage,4.4,9.8.3.17
4132,v1063548201,2019,Saskatchewan,Unemployment rate,Females,Percentage,3.6,9.8.3.18
4133,v1063548202,2019,Saskatchewan,Unemployment rate,Females,Percentage,,9.8.3.19
4134,v1063548203,2019,Saskatchewan,Unemployment rate,Females,Percentage,,9.8.3.20
4135,v1063548204,2019,Saskatchewan,Unemployment rate,Females,Percentage,,9.8.3.21
4136,v1063548228,2019,Saskatchewan,Participation rate,Males,Percentage,74.3,9.9.2.1
4137,v1063548229,2019,Saskatchewan,Participation rate,Males,Percentage,67.1,9.9.2.2
4138,v1063548230,2019,Saskatchewan,Participation rate,Males,Percentage,75.6,9.9.2.3
4139,v1063548231,2019,Saskatchewan,Participation rate,Males,Percentage,93.1,9.9.2.4
4140,v1063548249,2019,Saskatchewan,Participation rate,Males,Percentage,83.5,9.9.2.22
4141,v1063548232,2019,Saskatchewan,Participation rate,Males,Percentage,63.1,9.9.2.5
4142,v1063548233,2019,Saskatchewan,Participation rate,Males,Percentage,92.8,9.9.2.6
4143,v1063548234,2019,Saskatchewan,Participation rate,Males,Percentage,51.1,9.9.2.7
4144,v1063548235,2019,Saskatchewan,Participation rate,Males,Percentage,84.5,9.9.2.8
4145,v1063548236,2019,Saskatchewan,Participation rate,Males,Percentage,51.6,9.9.2.9
4146,v1063548237,2019,Saskatchewan,Participation rate,Males,Percentage,81.4,9.9.2.10
4147,v1063548238,2019,Saskatchewan,Participation rate,Males,Percentage,90.6,9.9.2.11
4148,v1063548239,2019,Saskatchewan,Participation rate,Males,Percentage,93.7,9.9.2.12
4149,v1063548240,2019,Saskatchewan,Participation rate,Males,Percentage,95.0,9.9.2.13
4150,v1063548241,2019,Saskatchewan,Participation rate,Males,Percentage,93.4,9.9.2.14
4151,v1063548242,2019,Saskatchewan,Participation rate,Males,Percentage,93.3,9.9.2.15
4152,v1063548243,2019,Saskatchewan,Participation rate,Males,Percentage,90.5,9.9.2.16
4153,v1063548244,2019,Saskatchewan,Participation rate,Males,Percentage,84.4,9.9.2.17
4154,v1063548245,2019,Saskatchewan,Participation rate,Males,Percentage,67.2,9.9.2.18
4155,v1063548246,2019,Saskatchewan,Participation rate,Males,Percentage,28.1,9.9.2.19
4156,v1063548247,2019,Saskatchewan,Participation rate,Males,Percentage,46.3,9.9.2.20
4157,v1063548248,2019,Saskatchewan,Participation rate,Males,Percentage,18.3,9.9.2.21
4158,v1063548250,2019,Saskatchewan,Participation rate,Females,Percentage,63.9,9.9.3.1
4159,v1063548251,2019,Saskatchewan,Participation rate,Females,Percentage,65.9,9.9.3.2
4160,v1063548252,2019,Saskatchewan,Participation rate,Females,Percentage,63.5,9.9.3.3
4161,v1063548253,2019,Saskatchewan,Participation rate,Females,Percentage,83.5,9.9.3.4
4162,v1063548271,2019,Saskatchewan,Participation rate,Females,Percentage,74.7,9.9.3.22
4163,v1063548254,2019,Saskatchewan,Participation rate,Females,Percentage,50.2,9.9.3.5
4164,v1063548255,2019,Saskatchewan,Participation rate,Females,Percentage,84.2,9.9.3.6
4165,v1063548256,2019,Saskatchewan,Participation rate,Females,Percentage,36.7,9.9.3.7
4166,v1063548257,2019,Saskatchewan,Participation rate,Females,Percentage,76.9,9.9.3.8
4167,v1063548258,2019,Saskatchewan,Participation rate,Females,Percentage,51.7,9.9.3.9
4168,v1063548259,2019,Saskatchewan,Participation rate,Females,Percentage,79.6,9.9.3.10
4169,v1063548260,2019,Saskatchewan,Participation rate,Females,Percentage,83.0,9.9.3.11
4170,v1063548261,2019,Saskatchewan,Participation rate,Females,Percentage,80.4,9.9.3.12
4171,v1063548262,2019,Saskatchewan,Participation rate,Females,Percentage,84.5,9.9.3.13
4172,v1063548263,2019,Saskatchewan,Participation rate,Females,Percentage,86.6,9.9.3.14
4173,v1063548264,2019,Saskatchewan,Participation rate,Females,Percentage,86.9,9.9.3.15
4174,v1063548265,2019,Saskatchewan,Participation rate,Females,Percentage,84.3,9.9.3.16
4175,v1063548266,2019,Saskatchewan,Participation rate,Females,Percentage,74.1,9.9.3.17
4176,v1063548267,2019,Saskatchewan,Participation rate,Females,Percentage,56.0,9.9.3.18
4177,v1063548268,2019,Saskatchewan,Participation rate,Females,Percentage,14.1,9.9.3.19
4178,v1063548269,2019,Saskatchewan,Participation rate,Females,Percentage,28.9,9.9.3.20
4179,v1063548270,2019,Saskatchewan,Participation rate,Females,Percentage,7.2,9.9.3.21
4180,v1063548294,2019,Saskatchewan,Employment rate,Males,Percentage,70.1,9.10.2.1
4181,v1063548295,2019,Saskatchewan,Employment rate,Males,Percentage,59.1,9.10.2.2
4182,v1063548296,2019,Saskatchewan,Employment rate,Males,Percentage,72.1,9.10.2.3
4183,v1063548297,2019,Saskatchewan,Employment rate,Males,Percentage,88.4,9.10.2.4
4184,v1063548315,2019,Saskatchewan,Employment rate,Males,Percentage,80.0,9.10.2.22
4185,v1063548298,2019,Saskatchewan,Employment rate,Males,Percentage,60.6,9.10.2.5
4186,v1063548299,2019,Saskatchewan,Employment rate,Males,Percentage,88.2,9.10.2.6
4187,v1063548300,2019,Saskatchewan,Employment rate,Males,Percentage,49.2,9.10.2.7
4188,v1063548301,2019,Saskatchewan,Employment rate,Males,Percentage,79.6,9.10.2.8
4189,v1063548302,2019,Saskatchewan,Employment rate,Males,Percentage,43.0,9.10.2.9
4190,v1063548303,2019,Saskatchewan,Employment rate,Males,Percentage,74.0,9.10.2.10
4191,v1063548304,2019,Saskatchewan,Employment rate,Males,Percentage,84.9,9.10.2.11
4192,v1063548305,2019,Saskatchewan,Employment rate,Males,Percentage,88.3,9.10.2.12
4193,v1063548306,2019,Saskatchewan,Employment rate,Males,Percentage,90.9,9.10.2.13
4194,v1063548307,2019,Saskatchewan,Employment rate,Males,Percentage,89.5,9.10.2.14
4195,v1063548308,2019,Saskatchewan,Employment rate,Males,Percentage,89.1,9.10.2.15
4196,v1063548309,2019,Saskatchewan,Employment rate,Males,Percentage,86.7,9.10.2.16
4197,v1063548310,2019,Saskatchewan,Employment rate,Males,Percentage,81.7,9.10.2.17
4198,v1063548311,2019,Saskatchewan,Employment rate,Males,Percentage,64.1,9.10.2.18
4199,v1063548312,2019,Saskatchewan,Employment rate,Males,Percentage,27.2,9.10.2.19
4200,v1063548313,2019,Saskatchewan,Employment rate,Males,Percentage,44.6,9.10.2.20
4201,v1063548314,2019,Saskatchewan,Employment rate,Males,Percentage,17.9,9.10.2.21
4202,v1063548316,2019,Saskatchewan,Employment rate,Females,Percentage,60.4,9.10.3.1
4203,v1063548317,2019,Saskatchewan,Employment rate,Females,Percentage,58.9,9.10.3.2
4204,v1063548318,2019,Saskatchewan,Employment rate,Females,Percentage,60.7,9.10.3.3
4205,v1063548319,2019,Saskatchewan,Employment rate,Females,Percentage,79.5,9.10.3.4
4206,v1063548337,2019,Saskatchewan,Employment rate,Females,Percentage,71.6,9.10.3.22
4207,v1063548320,2019,Saskatchewan,Employment rate,Females,Percentage,48.2,9.10.3.5
4208,v1063548321,2019,Saskatchewan,Employment rate,Females,Percentage,80.2,9.10.3.6
4209,v1063548322,2019,Saskatchewan,Employment rate,Females,Percentage,35.3,9.10.3.7
4210,v1063548323,2019,Saskatchewan,Employment rate,Females,Percentage,72.6,9.10.3.8
4211,v1063548324,2019,Saskatchewan,Employment rate,Females,Percentage,44.1,9.10.3.9
4212,v1063548325,2019,Saskatchewan,Employment rate,Females,Percentage,73.2,9.10.3.10
4213,v1063548326,2019,Saskatchewan,Employment rate,Females,Percentage,77.2,9.10.3.11
4214,v1063548327,2019,Saskatchewan,Employment rate,Females,Percentage,76.4,9.10.3.12
4215,v1063548328,2019,Saskatchewan,Employment rate,Females,Percentage,81.3,9.10.3.13
4216,v1063548329,2019,Saskatchewan,Employment rate,Females,Percentage,83.5,9.10.3.14
4217,v1063548330,2019,Saskatchewan,Employment rate,Females,Percentage,83.2,9.10.3.15
4218,v1063548331,2019,Saskatchewan,Employment rate,Females,Percentage,80.7,9.10.3.16
4219,v1063548332,2019,Saskatchewan,Employment rate,Females,Percentage,70.8,9.10.3.17
4220,v1063548333,2019,Saskatchewan,Employment rate,Females,Percentage,53.7,9.10.3.18
4221,v1063548334,2019,Saskatchewan,Employment rate,Females,Percentage,13.7,9.10.3.19
4222,v1063548335,2019,Saskatchewan,Employment rate,Females,Percentage,27.9,9.10.3.20
4223,v1063548336,2019,Saskatchewan,Employment rate,Females,Percentage,7.2,9.10.3.21
4224,v1063548492,2019,Alberta,Population,Males,Persons,1729.3,10.1.2.1
4225,v1063548493,2019,Alberta,Population,Males,Persons,266.8,10.1.2.2
4226,v1063548494,2019,Alberta,Population,Males,Persons,1462.5,10.1.2.3
4227,v1063548495,2019,Alberta,Population,Males,Persons,660.7,10.1.2.4
4228,v1063548513,2019,Alberta,Population,Males,Persons,541.4,10.1.2.22
4229,v1063548496,2019,Alberta,Population,Males,Persons,801.8,10.1.2.5
4230,v1063548497,2019,Alberta,Population,Males,Persons,935.6,10.1.2.6
4231,v1063548498,2019,Alberta,Population,Males,Persons,526.9,10.1.2.7
4232,v1063548499,2019,Alberta,Population,Males,Persons,1468.9,10.1.2.8
4233,v1063548500,2019,Alberta,Population,Males,Persons,127.1,10.1.2.9
4234,v1063548501,2019,Alberta,Population,Males,Persons,139.7,10.1.2.10
4235,v1063548502,2019,Alberta,Population,Males,Persons,160.0,10.1.2.11
4236,v1063548503,2019,Alberta,Population,Males,Persons,175.3,10.1.2.12
4237,v1063548504,2019,Alberta,Population,Males,Persons,166.5,10.1.2.13
4238,v1063548505,2019,Alberta,Population,Males,Persons,158.9,10.1.2.14
4239,v1063548506,2019,Alberta,Population,Males,Persons,140.1,10.1.2.15
4240,v1063548507,2019,Alberta,Population,Males,Persons,134.8,10.1.2.16
4241,v1063548508,2019,Alberta,Population,Males,Persons,139.9,10.1.2.17
4242,v1063548509,2019,Alberta,Population,Males,Persons,126.7,10.1.2.18
4243,v1063548510,2019,Alberta,Population,Males,Persons,260.3,10.1.2.19
4244,v1063548511,2019,Alberta,Population,Males,Persons,96.1,10.1.2.20
4245,v1063548512,2019,Alberta,Population,Males,Persons,164.2,10.1.2.21
4246,v1063548514,2019,Alberta,Population,Females,Persons,1725.1,10.1.3.1
4247,v1063548515,2019,Alberta,Population,Females,Persons,251.2,10.1.3.2
4248,v1063548516,2019,Alberta,Population,Females,Persons,1473.9,10.1.3.3
4249,v1063548517,2019,Alberta,Population,Females,Persons,648.1,10.1.3.4
4250,v1063548535,2019,Alberta,Population,Females,Persons,534.2,10.1.3.22
4251,v1063548518,2019,Alberta,Population,Females,Persons,825.9,10.1.3.5
4252,v1063548519,2019,Alberta,Population,Females,Persons,915.1,10.1.3.6
4253,v1063548520,2019,Alberta,Population,Females,Persons,558.9,10.1.3.7
4254,v1063548521,2019,Alberta,Population,Females,Persons,1433.4,10.1.3.8
4255,v1063548522,2019,Alberta,Population,Females,Persons,121.1,10.1.3.9
4256,v1063548523,2019,Alberta,Population,Females,Persons,130.1,10.1.3.10
4257,v1063548524,2019,Alberta,Population,Females,Persons,153.1,10.1.3.11
4258,v1063548525,2019,Alberta,Population,Females,Persons,171.8,10.1.3.12
4259,v1063548526,2019,Alberta,Population,Females,Persons,167.4,10.1.3.13
4260,v1063548527,2019,Alberta,Population,Females,Persons,155.7,10.1.3.14
4261,v1063548528,2019,Alberta,Population,Females,Persons,138.2,10.1.3.15
4262,v1063548529,2019,Alberta,Population,Females,Persons,128.8,10.1.3.16
4263,v1063548530,2019,Alberta,Population,Females,Persons,140.4,10.1.3.17
4264,v1063548531,2019,Alberta,Population,Females,Persons,126.8,10.1.3.18
4265,v1063548532,2019,Alberta,Population,Females,Persons,291.7,10.1.3.19
4266,v1063548533,2019,Alberta,Population,Females,Persons,99.3,10.1.3.20
4267,v1063548534,2019,Alberta,Population,Females,Persons,192.3,10.1.3.21
4268,v1063548558,2019,Alberta,Labour force,Males,Persons,1334.2,10.2.2.1
4269,v1063548559,2019,Alberta,Labour force,Males,Persons,179.3,10.2.2.2
4270,v1063548560,2019,Alberta,Labour force,Males,Persons,1154.9,10.2.2.3
4271,v1063548561,2019,Alberta,Labour force,Males,Persons,621.2,10.2.2.4
4272,v1063548579,2019,Alberta,Labour force,Males,Persons,464.1,10.2.2.22
4273,v1063548562,2019,Alberta,Labour force,Males,Persons,533.7,10.2.2.5
4274,v1063548563,2019,Alberta,Labour force,Males,Persons,878.6,10.2.2.6
4275,v1063548564,2019,Alberta,Labour force,Males,Persons,276.3,10.2.2.7
4276,v1063548565,2019,Alberta,Labour force,Males,Persons,1264.6,10.2.2.8
4277,v1063548566,2019,Alberta,Labour force,Males,Persons,63.8,10.2.2.9
4278,v1063548567,2019,Alberta,Labour force,Males,Persons,115.5,10.2.2.10
4279,v1063548568,2019,Alberta,Labour force,Males,Persons,145.3,10.2.2.11
4280,v1063548569,2019,Alberta,Labour force,Males,Persons,165.5,10.2.2.12
4281,v1063548570,2019,Alberta,Labour force,Males,Persons,158.8,10.2.2.13
4282,v1063548571,2019,Alberta,Labour force,Males,Persons,151.6,10.2.2.14
4283,v1063548572,2019,Alberta,Labour force,Males,Persons,131.9,10.2.2.15
4284,v1063548573,2019,Alberta,Labour force,Males,Persons,125.4,10.2.2.16
4285,v1063548574,2019,Alberta,Labour force,Males,Persons,116.6,10.2.2.17
4286,v1063548575,2019,Alberta,Labour force,Males,Persons,90.1,10.2.2.18
4287,v1063548576,2019,Alberta,Labour force,Males,Persons,69.6,10.2.2.19
4288,v1063548577,2019,Alberta,Labour force,Males,Persons,43.4,10.2.2.20
4289,v1063548578,2019,Alberta,Labour force,Males,Persons,26.2,10.2.2.21
4290,v1063548580,2019,Alberta,Labour force,Females,Persons,1143.1,10.2.3.1
4291,v1063548581,2019,Alberta,Labour force,Females,Persons,164.4,10.2.3.2
4292,v1063548582,2019,Alberta,Labour force,Females,Persons,978.7,10.2.3.3
4293,v1063548583,2019,Alberta,Labour force,Females,Persons,537.1,10.2.3.4
4294,v1063548601,2019,Alberta,Labour force,Females,Persons,398.2,10.2.3.22
4295,v1063548584,2019,Alberta,Labour force,Females,Persons,441.7,10.2.3.5
4296,v1063548585,2019,Alberta,Labour force,Females,Persons,760.0,10.2.3.6
4297,v1063548586,2019,Alberta,Labour force,Females,Persons,218.8,10.2.3.7
4298,v1063548587,2019,Alberta,Labour force,Females,Persons,1099.6,10.2.3.8
4299,v1063548588,2019,Alberta,Labour force,Females,Persons,58.7,10.2.3.9
4300,v1063548589,2019,Alberta,Labour force,Females,Persons,105.7,10.2.3.10
4301,v1063548590,2019,Alberta,Labour force,Females,Persons,129.3,10.2.3.11
4302,v1063548591,2019,Alberta,Labour force,Females,Persons,137.8,10.2.3.12
4303,v1063548592,2019,Alberta,Labour force,Females,Persons,138.4,10.2.3.13
4304,v1063548593,2019,Alberta,Labour force,Females,Persons,131.6,10.2.3.14
4305,v1063548594,2019,Alberta,Labour force,Females,Persons,117.6,10.2.3.15
4306,v1063548595,2019,Alberta,Labour force,Females,Persons,105.3,10.2.3.16
4307,v1063548596,2019,Alberta,Labour force,Females,Persons,103.5,10.2.3.17
4308,v1063548597,2019,Alberta,Labour force,Females,Persons,71.7,10.2.3.18
4309,v1063548598,2019,Alberta,Labour force,Females,Persons,43.5,10.2.3.19
4310,v1063548599,2019,Alberta,Labour force,Females,Persons,30.3,10.2.3.20
4311,v1063548600,2019,Alberta,Labour force,Females,Persons,13.2,10.2.3.21
4312,v1063548624,2019,Alberta,Employment,Males,Persons,1234.4,10.3.2.1
4313,v1063548625,2019,Alberta,Employment,Males,Persons,153.1,10.3.2.2
4314,v1063548626,2019,Alberta,Employment,Males,Persons,1081.3,10.3.2.3
4315,v1063548627,2019,Alberta,Employment,Males,Persons,583.6,10.3.2.4
4316,v1063548645,2019,Alberta,Employment,Males,Persons,432.8,10.3.2.22
4317,v1063548628,2019,Alberta,Employment,Males,Persons,497.6,10.3.2.5
4318,v1063548629,2019,Alberta,Employment,Males,Persons,827.4,10.3.2.6
4319,v1063548630,2019,Alberta,Employment,Males,Persons,253.9,10.3.2.7
4320,v1063548631,2019,Alberta,Employment,Males,Persons,1169.5,10.3.2.8
4321,v1063548632,2019,Alberta,Employment,Males,Persons,49.8,10.3.2.9
4322,v1063548633,2019,Alberta,Employment,Males,Persons,103.3,10.3.2.10
4323,v1063548634,2019,Alberta,Employment,Males,Persons,134.9,10.3.2.11
4324,v1063548635,2019,Alberta,Employment,Males,Persons,154.2,10.3.2.12
4325,v1063548636,2019,Alberta,Employment,Males,Persons,150.9,10.3.2.13
4326,v1063548637,2019,Alberta,Employment,Males,Persons,143.7,10.3.2.14
4327,v1063548638,2019,Alberta,Employment,Males,Persons,125.2,10.3.2.15
4328,v1063548639,2019,Alberta,Employment,Males,Persons,118.5,10.3.2.16
4329,v1063548640,2019,Alberta,Employment,Males,Persons,107.7,10.3.2.17
4330,v1063548641,2019,Alberta,Employment,Males,Persons,81.4,10.3.2.18
4331,v1063548642,2019,Alberta,Employment,Males,Persons,64.8,10.3.2.19
4332,v1063548643,2019,Alberta,Employment,Males,Persons,40.0,10.3.2.20
4333,v1063548644,2019,Alberta,Employment,Males,Persons,24.9,10.3.2.21
4334,v1063548646,2019,Alberta,Employment,Females,Persons,1073.4,10.3.3.1
4335,v1063548647,2019,Alberta,Employment,Females,Persons,148.5,10.3.3.2
4336,v1063548648,2019,Alberta,Employment,Females,Persons,924.9,10.3.3.3
4337,v1063548649,2019,Alberta,Employment,Females,Persons,506.6,10.3.3.4
4338,v1063548667,2019,Alberta,Employment,Females,Persons,376.3,10.3.3.22
4339,v1063548650,2019,Alberta,Employment,Females,Persons,418.3,10.3.3.5
4340,v1063548651,2019,Alberta,Employment,Females,Persons,718.5,10.3.3.6
4341,v1063548652,2019,Alberta,Employment,Females,Persons,206.4,10.3.3.7
4342,v1063548653,2019,Alberta,Employment,Females,Persons,1031.4,10.3.3.8
4343,v1063548654,2019,Alberta,Employment,Females,Persons,49.3,10.3.3.9
4344,v1063548655,2019,Alberta,Employment,Females,Persons,99.2,10.3.3.10
4345,v1063548656,2019,Alberta,Employment,Females,Persons,120.8,10.3.3.11
4346,v1063548657,2019,Alberta,Employment,Females,Persons,129.7,10.3.3.12
4347,v1063548658,2019,Alberta,Employment,Females,Persons,130.6,10.3.3.13
4348,v1063548659,2019,Alberta,Employment,Females,Persons,125.6,10.3.3.14
4349,v1063548660,2019,Alberta,Employment,Females,Persons,111.6,10.3.3.15
4350,v1063548661,2019,Alberta,Employment,Females,Persons,100.3,10.3.3.16
4351,v1063548662,2019,Alberta,Employment,Females,Persons,97.3,10.3.3.17
4352,v1063548663,2019,Alberta,Employment,Females,Persons,67.0,10.3.3.18
4353,v1063548664,2019,Alberta,Employment,Females,Persons,42.0,10.3.3.19
4354,v1063548665,2019,Alberta,Employment,Females,Persons,29.2,10.3.3.20
4355,v1063548666,2019,Alberta,Employment,Females,Persons,12.9,10.3.3.21
4356,v1063548690,2019,Alberta,Full-time employment,Males,Persons,1100.7,10.4.2.1
4357,v1063548691,2019,Alberta,Full-time employment,Males,Persons,98.8,10.4.2.2
4358,v1063548692,2019,Alberta,Full-time employment,Males,Persons,1001.9,10.4.2.3
4359,v1063548693,2019,Alberta,Full-time employment,Males,Persons,553.7,10.4.2.4
4360,v1063548711,2019,Alberta,Full-time employment,Males,Persons,403.7,10.4.2.22
4361,v1063548694,2019,Alberta,Full-time employment,Males,Persons,448.3,10.4.2.5
4362,v1063548695,2019,Alberta,Full-time employment,Males,Persons,785.9,10.4.2.6
4363,v1063548696,2019,Alberta,Full-time employment,Males,Persons,216.0,10.4.2.7
4364,v1063548697,2019,Alberta,Full-time employment,Males,Persons,1056.2,10.4.2.8
4365,v1063548698,2019,Alberta,Full-time employment,Males,Persons,20.2,10.4.2.9
4366,v1063548699,2019,Alberta,Full-time employment,Males,Persons,78.6,10.4.2.10
4367,v1063548700,2019,Alberta,Full-time employment,Males,Persons,125.9,10.4.2.11
4368,v1063548701,2019,Alberta,Full-time employment,Males,Persons,146.7,10.4.2.12
4369,v1063548702,2019,Alberta,Full-time employment,Males,Persons,144.4,10.4.2.13
4370,v1063548703,2019,Alberta,Full-time employment,Males,Persons,136.7,10.4.2.14
4371,v1063548704,2019,Alberta,Full-time employment,Males,Persons,120.1,10.4.2.15
4372,v1063548705,2019,Alberta,Full-time employment,Males,Persons,112.2,10.4.2.16
4373,v1063548706,2019,Alberta,Full-time employment,Males,Persons,101.2,10.4.2.17
4374,v1063548707,2019,Alberta,Full-time employment,Males,Persons,70.3,10.4.2.18
4375,v1063548708,2019,Alberta,Full-time employment,Males,Persons,44.5,10.4.2.19
4376,v1063548709,2019,Alberta,Full-time employment,Males,Persons,30.1,10.4.2.20
4377,v1063548710,2019,Alberta,Full-time employment,Males,Persons,14.4,10.4.2.21
